product_id,name,category,price
1,Honey Plus,Food & Beverages,368.37
2,Mirror Max,Home & Garden,99.99
3,Laptop Deluxe,Electronics,631.16
4,Art Set Premium,Toys & Games,390.91
5,Olive Oil Elite,Food & Beverages,971.36
6,Laptop Elite,Electronics,770.9
7,Face Cream Elite,Beauty & Personal Care,440.41
8,Car Battery Elite,Automotive,972.16
9,Mirror Premium,Home & Garden,871.8
10,Helmet Standard,Sports & Outdoors,161.3
11,Mirror Pro,Home & Garden,602.95
12,Car Battery Premium,Automotive,929.8
13,Dumbbells Pro,Sports & Outdoors,248.45
14,Tea Set Premium,Food & Beverages,734.58
15,Coat Deluxe,Clothing,137.1
16,Jump Starter Deluxe,Automotive,272.4
17,Honey Standard,Food & Beverages,929.61
18,Comic Plus,Books,995.19
19,Nail Polish Max,Beauty & Personal Care,129.78
20,Biography Basic,Books,30.81
21,Massage Ball Standard,Health & Wellness,17.11
22,Headphones Premium,Electronics,906.36
23,Face Cream Standard,Beauty & Personal Care,285.68
24,Brake Pad Deluxe,Automotive,726.11
25,Wine Max,Food & Beverages,250.56
26,Phone Mount Standard,Automotive,103.37
27,LEGO Set Plus,Toys & Games,416.98
28,Laptop Pro,Electronics,408.59
29,Face Cream Standard,Beauty & Personal Care,199.66
30,Thermometer Deluxe,Health & Wellness,427.65
31,Running Shoes Standard,Sports & Outdoors,875.73
32,Shorts Premium,Clothing,60.07
33,Vitamins Premium,Health & Wellness,927.09
34,Cookbook Plus,Books,490.77
35,Atlas Pro,Books,172.98
